,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,mengurapi,"diurapi, urapi","menuangkan minyak zaitun ke atas seseorang untuk menjadikannya raja, kepala suku, kepala suku sejati (G);",Mengurapi berarti mengangkat atau memilih atau menunjuk seseorang secara umum dengan menuangkan minyak ke atas mereka.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Apolos,,,"Apolos adalah seorang Yahudi dari Aleksandria, Mesir. Sebagai orang yang fasih berbicara, ia cakap dalam memahami arti Kitab Suci Ibrani, sehingga mampu mengajar orang-orang Kristen di kota-kota berbahasa Yunani.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,rasul,rasul-rasul,"Orang yang diutus;
Orang yang Kristus utus (G);
pelari (W);
orang yang diutus dari suatu tempat (orang yang diutus dalam misi) (D);
Pemimpin Kristen yang dipilih oleh Tuhan;
pemimpin Kristen pertama","Rasul di dalam bahasa Yunani berarti 'diutus dengan wewenang'. Allah mengutus Yesus ke dunia sebagai Rasul-Nya. Yesus memilih 12 rasul yang dia utus untuk memberi tahu orang lain tentang dia. Gereja juga mengutus pria dan wanita, yang disebut rasul, untuk memulai gereja baru.","malaikat, murid, nabi",,"Here is not the place to argue for or against Mattias, nor whether Paul be the real 12th apostle. Interestingly, in Acts 13, it was elders who sent apostles, and in 14 apostles who appointed elders. So it would seem problematic to argue for either kind of worker to have more authority than another. ",,,,,,,,,,,,,,,,,,,,,,,,
n,Akwila,,,"Akwila adalah suami Priskila. Mereka adalah orang-orang Yahudi dari Roma yang membantu Paulus untuk merintis gereja di Yunani dan di Syria. (Nama Aquila berarti ""elang"".)",Priskila,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Areopagus ,,tempat pertemuan yang disebut Areopagus (K),"Areopagus adalah nama sebuah bukit di kota Atena, Yunani. Guru dan pemimpin kota itu bertemu di bukit itu. Pertemuan mereka juga disebut Areopagus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,tabut perjanjian,tabut hukum,"kotak perjanjian (W);
kotak untuk perjanjian/janji;
peti suci","Tabut perjanjian adalah kotak atau peti kayu yang dilapisi emas. Di dalamnya ada loh batu, di mana Tuhan menulis Sepuluh Perintahnya ketika dia membuat perjanjian atau kesepakatan dengan Israel.",,"I would rather not use present tense, as then people would assume that the box is to be seen somewhere. If the article proves to be true, maybe then ok. But as Jesus made a new covenant with us, arc of the Covenant should not be emphasized.  (Hilkka)","Just today, a news article appeared, reporting that the Ark of the Covenant may actually reside in the Church of Saint Mary at Axum, Ethiopia. Since the ark was never reported to have been destroyed, we can speak of it in the present tense.",,,,,,,,,,,,,,,,,,,,,,,,
n,Artahsasta,,,Artahsasta adalah raja keenam Kekaisaran Persia 465-424 SM. Dia adalah cucu Darius dan anak Ahasyweros. (Nama Artahsasta berarti Dia memerintah dengan kebenaran.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Artemis,,,"Artemis, juga disebut Diana, adalah nama dewi Yunani dan Romawi yang dipuja oleh banyak orang di sebuah provinsi bernama Asia.",Diana,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Asnat,,,Asnat adalah istri Yusuf yang berasal dari Mesir.,,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Asytoret,,,"Asytoret adalah patung ukiran yang digunakan untuk menyembah dewi bernama Astart di negara-negara kafir. Beberapa orang Israel berdosa terhadap Tuhan dengan membuat berhala Asytoret, yang sering mereka letakkan di samping berhala dewa bernama Baal.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,kumpulan,perkumpulan,berkumpul bersama (G);,"Di mana pun orang Kristen berkumpul untuk menghormati Yesus dan menunjukkan kasih satu sama lain, mereka membentuk kumpulan sementara atau pertemuan permanen.","Orang-orang kudus, jemaat",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Asyur,orang Asyur,,Asyur adalah bangsa yang kuat yang menyerbu Israel utara pada tahun 738 sebelum Masehi. Tentara Asyur memperlakukan musuh mereka dengan kejam.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Atalya,,,"Atalya adalah ratu jahat yang mencoba membunuh Yoas untuk menghentikannya menjadi raja. Dia adalah cucu Raja Omri. Dia menikah dengan Yoram, raja Yehuda. Setelah Yoram meninggal, Atalya mencoba membunuh semua anak laki-lakinya.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,version,,,1.0-Eng-2022-03   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,copyright ,license,,"WordLinks database designed and compiled by Robin Rempel.  Copyright 2022, Robin Rempel. Made available under a Creative Commons BY-NC-SA 4.0 International license.
With acknowledgement and thanks to the following contributors of unpublished back translation (V-E) sample examples.  All used with permission or Fair Use for nonprofit, educational purposes.
Sue Ness (Kenya) for Daasanach (D) back translations copyright 2019, SIL International.
Carl Harrison (Brazil) for Guajajara (G) back translations copyright 2019 SIL International.  Carl Harrison for Portuguese (P) back translations copyright 2019 Carl Harrison.
Robyn Davies (Papua New Guinea) for Ramoaaina (R) and Kandas (K) back translations copyright 2019, SIL International.
Galen Currah (Senegal) for Wolof (W) back translations copyright 2019 WEC International and Galen Currah.
Meaning notes and definitions copyright 2019 Galen Currah, ThD.  Used with permission.
Special thanks to Hilkka Arminen, SIL translation consultant, for her expert review of the database and helpful editorial suggestions.
Licensed under the terms of a Creative Commons Creative Commons BY-NC-SA 4.0 International license.
",,"The © symbol was not utilized in this doc because it does not present properly when the xlsx doc is converted to a csv file and read in the SP software.  Instead, we are simply using the word ""copyright"" in the place of the © symbol.",,,,,,,,,,,,,,,,,,,,,,,,,
n,Atena,orang-orang Atena,,Atena adalah kota di Yunani yang terkenal dengan pengaruh filosofis dan intelektualnya.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Baal ,,,"Baal adalah nama dewa jahat yang idolanya banyak disembah oleh banyak negara. Tuhan terkadang harus menghukum orang Israel, setelah mereka meninggalkannya untuk menyembah Baal.",Beelzebul,,"Ba'al is very well known in cuneiform texts, a kind of international deity with many local idols.",,,,,,,,,,,,,,,,,,,,,,,,
n,Babel,"orang Babel, orang-orang Babel",,"Babel adalah nama sebuah kota kuno, dimulai sekitar 3000 tahun sebelum Yesus. Raja-raja Babel menaklukkan banyak negara lain. Ketika raja Babel merebut Israel, dia menangkap banyak orang Israel dan memindahkan mereka ke Babel. Orang Israel itu tinggal di Babel selama sekitar tujuh puluh tahun. (Petrus menyebut Roma Babel, dan Kitab Wahyu menggambarkan tempat yang sangat jahat yang disebut Babel.) Babel adalah kota yang dipenuhi dengan orang-orang yang bertindak sangat buruk dan yang tidak taat dan memberontak melawan Allah. Oleh karena itu, kadang-kadang kota Babel digunakan secara simbolis untuk merujuk pada tempat jahat yang akan dihancurkan Tuhan seperti dia menghancurkan kota bersejarah itu.",,,"Actually, 70 years serving the kings of Babylon, part of which was spent in captivity.",,,,,,,,,,,,,,,,,,,,,,,,
n,Bileam,,,Bileam hidup sekitar 1500 tahun sebelum Yesus. Bileam adalah seorang nabi yang bukan Yahudi.  Dia berpura-pura berbicara atas nama Tuhan untuk mendapatkan uang. Allah memerintahkan bangsa Israel untuk membunuh Bileam. Suatu kali Tuhan berbicara kepada Bileam melalui keledainya.,,,"In that era, pagan prophets not only spoke for the gods, but were believed to have persuasive power over gods. Thus, Balaam sold his services as one who could manipulate Yahweh.",,,,,,,,,,,,,,,,,,,,,,,,
t,membaptis,"baptisan, dibaptis, pembaptis","membawa (seseorang) di bawah/melalui air (D);
celupkan ke dalam air (W);
(untuk melambangkan kematian pada kehidupan lama dan awal kehidupan baru);
inisiasi;
menyebabkan dirinya mandi (menjadi pengikut Yesus Pemimpin Sejati)(G);",Membaptis adalah kata Yunani yang berarti membasuh dalam air atau mencelupkan ke dalam air. Orang Yahudi dan beberapa orang kafir membaptis di dalam ibadah mereka. Yohanes membaptis orang Yahudi yang menantikan kedatangan Mesias. Yesus memerintahkan para rasulnya untuk pergi memuridkan dengan membaptis dan mengajar mereka. Orang Kristen membaptis orang yang percaya kepada Yesus.,,,"A symbolic initiation in/with water that Jesus commanded for those who repent of their sins to become Christians. There are many ways in which to baptize. To dip under/ bury in water and bring back up/out to signify death to old life and resurrected to new life, a new identity. There are a series of baptisms in the Bible: God brought Noah through the water to start a new life after the judgment flood. God (via Moses) rescused Israel from their slavery in Egypt and brought them through the water of the big sea to start a new life trusting him in the wilderness. God (via Joshua) led the new generation of Israel through the Jordan River to begin a new life obeying God in a new land. John dipped people in the waters of the Jordan River who were repenting from their sins and getting prepared for Kingdom life. Jesus went down into the waters of the Jordan River to be baptized by John and came out the other side to go into the wilderness for 40 days to show that he was re-playing Israel as the new Israel but doing it rightly, faithfully, in full obedience to God. Jesus commanded people who believe in him to be put under water to show that they have died and been buried to their old life of rebelling against God and have been raised up to a new life with a new identity as God's children.",,,,,,,,,,,,,,,,,,,,,,,,
n,Barnabas,,,"Barnabas adalah salah satu orang Kristen pertama di Yerusalem. Dia membawa Paulus untuk bertemu dengan para rasul pertama, dan dia kemudian membawa Paulus ke Antiokhia (Siria) untuk memuridkan orang-orang di sana. Dia dan Paulus juga pergi bersama dalam misi untuk memulai jemaat-jemaat baru. (Nama Barnabas artinya Anak Penghibur).",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Barak ,,,"Barak adalah hakim keempat di Israel, sebelum ada raja Israel. Barak memimpin orang Israel dalam perang dan mengalahkan musuh mereka.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,jelai,,bulir,"Jelai adalah sejenis biji-bijian seperti gandum. Orang miskin biasanya membuat roti dengan jelai, karena harga jelai lebih murah daripada gandum.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Batsyeba,,,"Batsyeba adalah istri cantik Uria, seorang prajurit di pasukan raja Daud. Batsyeba pernah mandi di luar di mana raja David melihatnya mandi. Kemudian mereka tidur bersama. Daud menyebabkan Uria mati dalam pertempuran, lalu menikahi Batsyeba. Tuhan menghukum Daud karena dosa-dosanya dan menyebabkan anak pertamanya dengan Batsyeba meninggal. Anak laki-laki Batsyeba, Salomo, menjadi raja setelah Daud. (Nama Batsyeba berarti Putri Janji/Sumpah.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,beruang,,binatang buas (R ),"Seekor beruang adalah binatang yang sangat besar, kuat, berbulu dan hidup di hutan. Beruang itu berbahaya. Mereka memiliki gigi tajam dan cakar panjang. Mereka bisa memanjat pohon, dan bisa membunuh orang. Beruang makan hampir apa saja. Saat beruang dewasa berdiri dengan dua kaki, ia lebih tinggi dari manusia.",singa,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Beelzebul,,,Beelzebul adalah nama lain untuk dewa jahat Baal. Beberapa orang percaya dia menjadi kepala atas roh-roh jahat.,Baal,,,,,,,,,,,,,,,,,,,,,,,,,,
t, arak,minuman keras,"minuman apa pun yang menyebabkan orang menjadi mabuk (G)
",Minuman yang terbuat dari biji-bijian matang yang mengandung sedikit alkohol.,anggur,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hikmat,"bijaksana, kebijaksanaan, berhikmat","kecerdasan dari Tuhan;
Berpikir sama dengan Tuhan (G);
pengetahuan/kebijaksanaan (R);
mengetahui hal-hal dengan baik (G)
",Orang hikmat mengetahui dan melakukan apa yang benar dan tepat. Tuhan Maha Hikmat dan Dia memberikan hikmat kepada semua orang yang memintanya dengan iman. (Hikmat juga merupakan gelar Kristen bagi Yesus.),"bodoh, pengetahuan",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Belsyazar,,,Belsyazar adalah raja Babel yang terakhir. Dia meninggal pada 539 SM ketika Persia menaklukkan Babel. (Nama Belshazzar berarti Bel menjaga raja.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Benyamin,,,"Benyamin hidup sekitar 2000 tahun sebelum Yesus. Benyamin adalah anak bungsu dari dua belas anak laki-laki Yakub. Jadi, Benyamin adalah nenek moyang salah satu dua belas suku Israel.",,,The term Jew (Judean) does not appear in the Hebrew Scripture until the time of the Babylonian captivity.,,,,,,,,,,,,,,,,,,,,,,,,
n,Betel,,,"Yakub bertemu dengan Allah di dekat sebuah kota bernama Lus, jadi dia mengganti nama kota itu menjadi Betel, yang berarti Rumah Allah.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Betlehem,,,Beberapa kota diberi nama Betlehem. Salah satu kota itu di dekat Yerusalem juga disebut Kota Daud. Mikha 5:2 menubuatkan bahwa seorang pemimpin besar akan datang dari Betlehem. Yesus lahir di Betleham. (Nama Betlehem berarti Rumah Roti.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Alkitab ,Kitab Suci,"Firman Allah (G); Kertas Allah (W)
","Alkitab terdiri dari banyak kitab (yang disatukan). Alkitab berisi dengan kitab-kitab Perjanjian Lama dan Perjanjian Baru, yang ditulis oleh banyak orang yang berbeda selama kurun waktu beberapa ribu tahun, tetapi semuanya diilhami secara koheren oleh Roh Allah.","kitab, gulungan",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,memberkati,"berkat, diberkati","(1) memintakan kebaikan Tuhan untuk seseorang;
(2) datang (datang membantu/mendukung seseorang atau menunjukkan kasih karunia kepada seseorang);
berbicara dengan baik / mengatakan hal-hal baik tentang seseorang (G); beruntung ®","Memberkati berarti (1) mengucapkan kata-kata yang baik kepada orang lain, (2) mengharapkan yang baik terjadi pada mereka, (3) berbuat baik kepada mereka, atau (4) memberikan hal-hal yang baik kepada mereka. Allah memberkati kita, dan kita memberkati orang lain.",mengutuki,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,darah,,,"Kata darah bisa memiliki arti harfiah, tetapi seringkali memiliki arti kiasan atau makna yang diperluas. Darah dapat berarti (a) cairan merah pada tubuh yang hidup, (b) kematian atau pembunuhan yang kejam, atau (c) kematian Yesus di kayu salib. 'Darah di tangan' berarti bersalah atas pembunuhan.","kematian, korban",,Blood remains a powerful symbol of Jesus' sacrificial death. Translators must decide if the symbol should be retained or replaced with its meaning.,,,,,,,,,,,,,,,,,,,,,,,,
t,perahu,,"kano (G);
",Perahu adalah istilah umum untuk kendaraan air terapung yang digunakan untuk mengangkut orang dan kargo. Sebagian besar perahu terbuat dari kayu. Kapal adalah perahu yang sangat besar.,kapal,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Boas,,,"Boas adalah seorang petani Israel yang kaya. Dia membiarkan orang miskin memungut gandum yang ditinggalkan oleh para pemanennya. Boas adalah kerabat dari suami Naomi yang sudah meninggal, jadi dia menikah dengan Rut, menantu perempuan Naomi yang sudah menjanda. Dengan demikian, ia menjadi nenek moyang Raja Daud dan Yesus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,kitab,Kitab-kitab,"kertas (G, W);
","Kitab adalah daun atau lembaran kertas/perkamen yang diikat menjadi satu pada salah satu ujungnya. Gulungan adalah gulungan kertas panjang/kulit binatang/papirus yang harus dibuka oleh pembaca. Kitab dapat berarti bagian dari Alkitab yang memiliki nama atau judul, seperti Kitab Yesaya. Kitab juga merupakan simbol ingatan Allah.","Alkitab, gulungan",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,roti,,"apa yang kita makan / makanan kita (tapioka, serabi) (G);
sagu (PNG);","Roti adalah sejenis makanan yang terbuat dari biji-bijian yang digiling dan dipanggang hingga kering. Kadang-kadang roti mengandung ragi agar menjadi lunak. Jika roti tidak mengandung ragi maka teksturnya keras atau garing. Roti adalah makanan sehari-hari di beberapa negara. Sama seperti orang di banyak negara tidak bisa hidup tanpa makan roti (roti adalah makanan pokok mereka), maka Yesus disebut ""Roti Hidup"".
Manna adalah sejenis roti istimewa dari surga.",manna,,"GC 15-Feb-2019
RR added some content.  OK?

GC 23-Feb-2019
A little wordy? Maybe drop the part about Bethlehem and include:

... Jesus was called the ""Bread of Life,"" because he gives eternal life to those who trust in him.

Manna has its own entry.",,,,,,,,,,,,,,,,,,,,,,,,
t,belerang,,sulfur (K),Belerang adalah bahan yang berapi-api seperti lahar dari gunung berapi. Allah membuat belerang jatuh dari langit ke bumi.,,like lava from volcano,GC 29-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,tembaga,,logam kemerahan (batu keras) (G);,"Tembaga dan kuningan adalah logam keras dan mengkilap yang terbuat dari campuran tembaga, seng, dan timah. Pada zaman Alkitab, beberapa perkakas, senjata, dan perhiasan dibuat dari tembaga atau kuningan.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,mendirikan,"membangun, tukang bangunan, didirikan, dirikan, dirikanlah",membuat (G);,"Mendirikan sesuatu berarti membuatnya lebih besar atau lebih baik. Mendirikan rumah berarti membuat rumah yang baru, sebagian demi sebagian. Mendirikan atau memperbaiki orang berarti membuat mereka lebih kuat.","menciptakan, membentuk, mengukir",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Kaisar,,,Kaisar adalah gelar yang diberikan orang Romawi kepada raja mereka. Setiap kaisar juga raja atas semua negara yang ditaklukkan Roma. Setiap raja atas rakyat Roma disebut Kaisar.,"raja, Firaun",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Kaisarea,,,"Ada dua kota bernama Kaisarea. Salah satunya dibangun oleh orang Romawi, di pantai laut ke arah utara dari Yerusalem. Kota itu dibangun untuk menghormati nama kaisar Romawi. (Nama Kaisarea berarti Kota Raja.)",,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Kain,,,"Sekitar 4000 tahun sebelum Yesus, dua anak laki-laki pertama Adam dan Hawa bernama Kain dan Habel. Kain tidak menghormati Allah, tetapi Habel menghormati-Nya. Setelah Allah menegur Kain, Kain menjadi marah dan membunuh saudaranya Habel.","Habel, Adam, Hawa",,Same note as for Abel.,,,,,,,,,,,,,,,,,,,,,,,,
